chrom,pos,allele_count,num_heterozygotes,num_homozygotes,chi_p_values,fisher_p_values
89,2,3,3,0,0.998872253775306,0.9984992496248124
89,5,501,407,47,0.029636995318724928,0.0019134625259568528
89,24,3,3,0,0.998872253775306,0.9984992496248124
90,11,34,34,0,0.8611029746459657,0.7517945541651972
93,16,260,222,19,0.841660448579418,0.0892870541574834
93,22,15,15,0,0.9718520782202444,0.9484901534392025
94,2,1810,180,815,0.33425006162505294,0.05347195021910576
96,25,265,215,25,0.12283359628446286,0.013794155062802215
99,4,189,181,4,0.19016857966959586,0.028158680385809983
100,21,22,22,0,0.9400207889201649,0.8898010266496916
103,4,72,70,1,0.9642793193847569,0.3654070902811881
103,12,753,479,137,0.8147196642624657,0.04431346575375467
105,21,79,77,1,0.896703787702933,0.33602694876245165
106,9,19,19,0,0.9550469769297613,0.9173194471526248
106,12,209,179,15,0.3866143455092048,0.04874938591445839
106,18,43,43,0,0.7855325928010027,0.6304389882944557
108,17,8,8,0,0.9919680438685891,0.9860455489387389
109,2,3,3,0,0.998872253775306,0.9984992496248124
109,17,111,111,0,0.17791627368654586,0.03944462646561278
111,15,19,19,0,0.9550469769297613,0.9173194471526248
114,9,760,478,141,0.9011078437427076,0.048653644133006255
115,10,705,447,129,0.8057505088031757,0.04391158564683443
115,19,1295,447,424,0.8057505088031757,0.04391158564683443
120,8,50,50,0,0.7198365562414227,0.5335985639785162
120,20,656,442,107,0.9964961339342507,0.057099203492967675
121,6,98,92,3,0.9207035280445338,0.21943091203263185
121,15,2,2,0,0.9994991239782939,0.9994997498749375
125,11,26,26,0,0.9169149158673642,0.8482302183936231
125,18,8,8,0,0.9919680438685891,0.9860455489387389
125,25,2,2,0,0.9994991239782939,0.9994997498749375
126,14,974,512,231,0.7372232425600946,0.03768300943736812
128,1,639,427,106,0.8500048332283376,0.048619770164935135
130,15,10,10,0,0.9874534290355311,0.9776461646549068
130,16,173,161,6,0.8386686361022109,0.1446801604459332
134,17,31,29,1,0.28955369220557176,0.18928228632986865
135,9,6,6,0,0.9954831099826345,0.9925075187772161
135,23,2,2,0,0.9994991239782939,0.9994997498749375
137,21,1180,462,359,0.36233024930348084,0.01846978297378214
138,17,2,2,0,0.9994991239782939,0.9994997498749375
139,17,920,494,213,0.9842428167981251,0.049812756385153645
139,18,110,106,2,0.8232796773038397,0.22817277755699727
143,26,149,135,7,0.8016764615141536,0.13221802225293353
144,3,17,17,0,0.9639199330844024,0.9337314092786754
144,23,50,50,0,0.7198365562414227,0.5335985639785162
146,16,139,125,7,0.5695875961321267,0.0983033185852619
146,23,98,66,16,3.2112353435968775e-19,7.096676618108193e-11
148,2,503,361,71,0.42871732593445333,0.027857677779360157
149,6,173,165,4,0.3786860670596082,0.06735783745850725
150,20,131,121,5,0.9349835347272479,0.17702584947525754
152,1,58,56,1,0.9841848710110381,0.37420336736766074
154,8,3,3,0,0.998872253775306,0.9984992496248124
155,17,138,112,13,0.000267945614593028,0.0003235960004367107
157,13,149,141,4,0.7766543712874964,0.15853723855012244
158,5,79,79,0,0.429295953959298,0.20111447371566404
159,19,657,479,89,0.025341624213790017,0.0014610145837120837
160,19,648,436,106,0.9891303532232438,0.05671486908827155
161,16,104,104,0,0.22215308965656438,0.059275863786052825
162,17,6,6,0,0.9954831099826345,0.9925075187772161
162,26,1691,265,713,0.9025863988289514,0.08975717531958287
163,26,22,22,0,0.9400207889201649,0.8898010266496916
164,7,163,153,5,0.7861214493967084,0.1459103068692189
165,18,26,26,0,0.9169149158673642,0.8482302183936231
167,20,6,6,0,0.9954831099826345,0.9925075187772161
168,22,4,4,0,0.9979939906673919,0.9969992507520661
169,1,223,199,12,0.990526507843244,0.12723954911391186
170,19,1682,260,711,0.6792573814372795,0.0610474261175158
171,1,6,6,0,0.9954831099826345,0.9925075187772161
172,5,3,3,0,0.998872253775306,0.9984992496248124
172,20,1477,399,539,0.5792035315974811,0.038973278481913974
173,5,23,23,0,0.9345664769544622,0.8799043519346799
173,13,151,147,2,0.2453288913031581,0.04696454434422683
175,9,1101,483,309,0.7489645728044616,0.0377049996756927
176,6,554,400,77,0.9990848892359903,0.06277536162505522
176,12,9,9,0,0.9898352698344185,0.9820855266538443
177,14,1551,339,606,0.7053836418081645,0.04957138283399332
181,20,154,138,8,0.6540534948286746,0.10387238634967647
182,13,292,250,21,0.9967935423285363,0.10109577562029962
184,1,10,10,0,0.9874534290355311,0.9776461646549068
184,8,86,84,1,0.8082968021161591,0.29583024590012574
185,11,7,7,0,0.9938508825359385,0.9895210367748775
186,12,3,3,0,0.998872253775306,0.9984992496248124
187,14,43,43,0,0.7855325928010027,0.6304389882944557
188,12,1391,421,485,0.981907741163688,0.05813416656825756
190,12,216,174,21,0.009133075756397635,0.001858058690589167
192,23,26,26,0,0.9169149158673642,0.8482302183936231
194,6,285,215,35,0.0007245327576489453,0.00014477695659180162
194,23,1776,188,794,0.2220786538434107,0.02750492550056273
195,4,153,141,6,0.9978154925935849,0.1737081599207232
197,3,5,5,0,0.9968642429984811,0.995001256261581
199,17,9,9,0,0.9898352698344185,0.9820855266538443
200,15,9,9,0,0.9898352698344185,0.9820855266538443
200,18,1924,70,927,0.40418504923340903,0.11736621108632339
201,5,394,322,36,0.8541437316115683,0.06993206903683437
201,25,413,303,55,0.05819805178023337,0.004610862359037004
208,18,76,70,3,0.40418504923340903,0.11736621108632339
209,22,17,17,0,0.9639199330844024,0.9337314092786754
212,23,76,72,2,0.8907735141425213,0.255395487504746
213,17,18,18,0,0.9595997956776657,0.9257266518617628
217,6,371,307,32,0.8805221872730002,0.07543463491155064
217,10,1629,307,661,0.8805221872730002,0.07543463491155064
219,5,293,257,18,0.6815688411461363,0.07276353564022947
219,15,1102,514,294,0.4709417061796467,0.024503444522996572
221,5,457,345,56,0.7938760601221858,0.055338695346367685
226,18,892,550,171,0.001690982058076222,9.008949145274125e-05
227,14,877,517,180,0.2881738654461977,0.015154127842002586
228,4,131,121,5,0.9349835347272479,0.17702584947525754
232,7,44,44,0,0.7764601308542156,0.6165867264157323
232,18,1953,43,955,0.13668048386100473,0.0844253326429648
234,10,44,42,1,0.7500826887538975,0.30474976133191367
237,19,3,3,0,0.998872253775306,0.9984992496248124
239,8,11,11,0,0.9848235826801348,0.972733369857646
239,17,1335,405,465,0.02154819588797147,0.0012113575753033708
240,17,2,2,0,0.9994991239782939,0.9994997498749375
242,4,2,2,0,0.9994991239782939,0.9994997498749375
242,9,5,5,0,0.9968642429984811,0.995001256261581
242,13,59,49,5,3.0324016051552424e-05,0.0010251518327410163
243,10,1310,444,433,0.8566620193283672,0.04722546256155109
243,10,16,16,0,0.9680048221116089,0.9413227215492337
245,10,481,375,53,0.7039195935006276,0.05001402074732192
247,3,240,212,14,0.9928516589477636,0.1193725474814099
247,26,240,212,14,0.9928516589477636,0.1193725474814099
248,2,1997,3,997,0.998872253775306,0.9984992496248124
248,12,54,54,0,0.6804439268132277,0.47938165929698523
249,15,173,163,5,0.6105382756335522,0.1095374448093273
250,13,564,390,87,0.505781727398074,0.030671914429264254
255,11,9,9,0,0.9898352698344185,0.9820855266538443
256,13,5,5,0,0.9968642429984811,0.995001256261581
257,2,553,381,86,0.3201549402357276,0.019631596828544363
259,11,70,68,1,0.9780550355567416,0.37113351210350626
259,25,4,4,0,0.9979939906673919,0.9969992507520661
263,10,33,33,0,0.868723138301186,0.7646224860615011
265,20,3,3,0,0.998872253775306,0.9984992496248124
267,2,10,10,0,0.9874534290355311,0.9776461646549068
267,11,20,20,0,0.9502642240019056,0.9085213302945229
267,17,24,24,0,0.9288949647724943,0.8696677307437352
269,12,46,46,0,0.7579786842543222,0.5888434034519378
269,23,113,111,1,0.429295953959298,0.12443774342981419
271,5,118,114,2,0.7006179476871893,0.18797356036565452
273,16,19,19,0,0.9550469769297613,0.9173194471526248
282,25,14,14,0,0.9754595015030865,0.9552238563540852
283,2,1272,514,379,0.0023238513331923522,0.00012563527739508122
285,1,93,87,3,0.8365194646234391,0.20184566602048468
285,3,93,87,3,0.8365194646234391,0.20184566602048468
285,16,10,10,0,0.9874534290355311,0.9776461646549068
285,21,2,2,0,0.9994991239782939,0.9994997498749375
286,25,1623,297,663,0.6527713135632909,0.051718374162789606
286,26,1623,297,663,0.6527713135632909,0.051718374162789606
287,5,761,467,147,0.9566295761535398,0.05086835708951278
288,3,297,253,22,0.9999146306757707,0.09947780858741845
288,19,1703,253,725,0.9999146306757707,0.09947780858741845
288,20,178,160,9,0.9152559357255545,0.13357408097127885
290,12,11,11,0,0.9848235826801348,0.972733369857646
292,9,376,284,46,0.08748399021037584,0.007359526701991188
292,11,1323,435,444,0.6631646283261963,0.03665554290292299
292,13,677,435,121,0.6631646283261963,0.03665554290292299
293,10,764,482,141,0.80451021612152,0.043519135781049274
293,24,276,246,15,0.561100101285914,0.06364033044847482
296,14,372,304,34,0.9922819700061389,0.08306373516103219
298,24,2,2,0,0.9994991239782939,0.9994997498749375
300,5,2,2,0,0.9994991239782939,0.9994997498749375
300,9,560,394,83,0.7708062394758872,0.04724734948148028
300,12,14,14,0,0.9754595015030865,0.9552238563540852
301,1,1204,460,372,0.44841713634670466,0.023116674744117705
301,24,564,414,75,0.7791018379626704,0.049503801123980076
302,8,68,64,2,0.7187986846421279,0.21558524488739056
304,3,32,32,0,0.8761688601308331,0.7772608742608647
305,17,234,216,9,0.3570068636549391,0.046883467509061354
308,7,3,3,0,0.998872253775306,0.9984992496248124
308,22,204,174,15,0.2839779112044972,0.03734112240295439
308,24,2,2,0,0.9994991239782939,0.9994997498749375
311,22,15,15,0,0.9718520782202444,0.9484901534392025
312,11,6,6,0,0.9954831099826345,0.9925075187772161
313,24,29,29,0,0.8974110804933898,0.8138805035509974
314,22,985,491,247,0.8538101425792188,0.0426969169480831
316,7,681,451,115,0.9912724816271915,0.055811015014242134
317,15,3,3,0,0.998872253775306,0.9984992496248124
317,25,48,46,1,0.8488907497740598,0.332093581234482
319,17,147,143,2,0.2870599512654188,0.058319872068487356
320,12,101,101,0,0.24307887388256377,0.06995969970562965
321,7,400,294,53,0.03685436367962659,0.0030813374732749192
321,26,101,99,1,0.5929544075005428,0.19627582417412764
323,14,824,520,152,0.06839861514290936,0.003684946005689132
326,11,431,335,48,0.9583331583324839,0.07046723436131831
326,16,2,2,0,0.9994991239782939,0.9994997498749375
327,3,1025,441,292,0.0010107486872121324,4.784357836551878e-05
328,18,2,2,0,0.9994991239782939,0.9994997498749375
330,5,3,3,0,0.998872253775306,0.9984992496248124
331,18,33,33,0,0.868723138301186,0.7646224860615011
332,3,11,11,0,0.9848235826801348,0.972733369857646
333,7,671,425,123,0.3340663878117052,0.018429493722882346
333,8,346,292,27,0.8109421035495663,0.07411513256871632
335,9,16,16,0,0.9680048221116089,0.9413227215492337
336,15,213,177,18,0.08650279375592598,0.012472874900917013
337,2,2,2,0,0.9994991239782939,0.9994997498749375
341,20,20,20,0,0.9502642240019056,0.9085213302945229
342,13,3,3,0,0.998872253775306,0.9984992496248124
343,4,1365,449,458,0.5226325472912243,0.03119283612371817
343,4,7,7,0,0.9938508825359385,0.9895210367748775
343,6,33,33,0,0.868723138301186,0.7646224860615011
344,8,348,270,39,0.15846441297844127,0.013787159487088228
347,13,5,5,0,0.9968642429984811,0.995001256261581
348,5,6,6,0,0.9954831099826345,0.9925075187772161
352,14,6,6,0,0.9954831099826345,0.9925075187772161
352,22,256,230,13,0.631537690573651,0.07660387398301245
354,25,12,12,0,0.9819469841920873,0.9673537484054419
355,13,11,11,0,0.9848235826801348,0.972733369857646
355,15,33,33,0,0.868723138301186,0.7646224860615011
355,18,1308,450,429,0.9840301349356834,0.0545974605855218
360,1,4,4,0,0.9979939906673919,0.9969992507520661
360,13,32,28,2,0.0021651673603353292,0.022302432924596004
361,22,52,52,0,0.7002722969814618,0.506311755251036
361,24,2,2,0,0.9994991239782939,0.9994997498749375
362,26,1152,502,325,0.6805233842424019,0.03567575190893283
364,12,1669,275,697,0.9903013708591903,0.0893585073324872
364,19,48,48,0,0.7390881508661906,0.5611439413412436
365,4,1957,43,957,0.7855325928010027,0.6304389882944557
366,2,202,186,8,0.7454274945692114,0.11238392181659446
368,18,1676,240,718,0.0011884594093529463,0.00017767254506267151
368,18,38,32,3,4.436167090353864e-05,0.004038368369408448
371,4,3,3,0,0.998872253775306,0.9984992496248124
371,16,48,46,1,0.8488907497740598,0.332093581234482
374,12,1870,122,874,0.9931703597115357,0.20713198505739683
374,17,130,122,4,0.9931703597115357,0.20713198505739683
377,14,65,61,2,0.6373619917968983,0.19763135630016068
378,11,400,324,38,0.9248488132162048,0.07424442450367838
380,10,20,20,0,0.9502642240019056,0.9085213302945229
385,5,5,5,0,0.9968642429984811,0.995001256261581
385,14,72,68,2,0.8140302315189935,0.2372199255454487
392,21,206,180,13,0.7154346284839546,0.09028865156170737
393,23,1206,440,383,0.037605260896308515,0.001920179182468951
394,8,2,2,0,0.9994991239782939,0.9994997498749375
395,1,10,10,0,0.9874534290355311,0.9776461646549068
395,11,3,3,0,0.998872253775306,0.9984992496248124
397,18,1757,203,777,0.2999943689123643,0.03390345235274828
