allele_count,chi_pr_values,chrom,fisher_p_n_homo_geq,fisher_p_n_homo_leq,fisher_p_two_sided,fisher_pr_values,num_heterozygotes,num_homozygotes,pos
27,,26,0,0,0,0,27,0,3
5,,26,0,0,0,0,5,0,3
7,,27,0,0,0,0,7,0,21
23,,28,0,0,0,0,23,0,3
5,,28,0,0,0,0,5,0,9
2,,29,0,0,0,0,2,0,1
6,,29,0,0,0,0,6,0,6
3,,29,0,0,0,0,3,0,21
15,0.0,29,0,0,0,0,13,1,23
7,,30,0,0,0,0,7,0,23
5,,31,0,0,0,0,5,0,1
2,,31,0,0,0,0,2,0,5
14,,31,0,0,0,0,14,0,9
7,,31,0,0,0,0,7,0,17
4,,31,0,0,0,0,4,0,19
2,,32,0,0,0,0,2,0,3
7,,32,0,0,0,0,7,0,5
25,0.0,32,0,0,0,0,23,1,23
26,,33,0,0,0,0,26,0,6
11,,33,0,0,0,0,11,0,19
7,,33,0,0,0,0,7,0,20
3,,34,0,0,0,0,3,0,5
15,,34,0,0,0,0,15,0,5
12,,35,0,0,0,0,12,0,2
27,,35,0,0,0,0,27,0,10
2,,35,0,0,0,0,2,0,12
10,,35,0,0,0,0,10,0,15
3,,36,0,0,0,0,3,0,17
5,,37,0,0,0,0,5,0,17
20,,37,0,0,0,0,20,0,23
11,,37,0,0,0,0,11,0,24
2,,38,0,0,0,0,2,0,3
4,,38,0,0,0,0,4,0,5
5,,38,0,0,0,0,5,0,11
2,,38,0,0,0,0,2,0,15
4,,38,0,0,0,0,4,0,23
34,,39,0,0,0,0,34,0,1
34,,39,0,0,0,0,34,0,1
5,,39,0,0,0,0,5,0,13
2,,40,0,0,0,0,2,0,4
21,,40,0,0,0,0,21,0,13
2,,41,0,0,0,0,2,0,5
6,,41,0,0,0,0,6,0,5
2,,41,0,0,0,0,2,0,8
16,,41,0,0,0,0,16,0,15
2,,41,0,0,0,0,2,0,16
4,,41,0,0,0,0,4,0,22
3,,41,0,0,0,0,3,0,23
2,,42,0,0,0,0,2,0,10
8,0.0,42,0,0,0,0,6,1,21
7,,43,0,0,0,0,7,0,1
11,,43,0,0,0,0,11,0,5
8,,43,0,0,0,0,8,0,9
9,,43,0,0,0,0,9,0,10
2,,44,0,0,0,0,2,0,9
4,,44,0,0,0,0,4,0,14
46,0.0,44,0,0,0,0,44,1,16
18,,44,0,0,0,0,18,0,17
10,,44,0,0,0,0,10,0,19
7,,44,0,0,0,0,7,0,22
2,,44,0,0,0,0,2,0,26
13,,45,0,0,0,0,13,0,7
14,,45,0,0,0,0,14,0,12
6,,45,0,0,0,0,6,0,23
8,,46,0,0,0,0,8,0,6
12,,46,0,0,0,0,12,0,7
51,0.0,47,0,0,0,0,47,2,19
2,,48,0,0,0,0,2,0,14
35,,48,0,0,0,0,35,0,23
3,,49,0,0,0,0,3,0,1
11,,49,0,0,0,0,11,0,3
4,,49,0,0,0,0,4,0,21
8,,50,0,0,0,0,8,0,1
7,,50,0,0,0,0,7,0,7
36,,50,0,0,0,0,36,0,19
3,,51,0,0,0,0,3,0,3
5,,51,0,0,0,0,5,0,6
5,,51,0,0,0,0,5,0,8
8,,52,0,0,0,0,8,0,8
6,,52,0,0,0,0,6,0,22
7,,53,0,0,0,0,7,0,3
3,,53,0,0,0,0,3,0,7
5,,53,0,0,0,0,5,0,7
11,,53,0,0,0,0,11,0,8
30,,53,0,0,0,0,30,0,9
15,,54,0,0,0,0,15,0,9
6,,54,0,0,0,0,6,0,13
6,,55,0,0,0,0,6,0,2
17,,56,0,0,0,0,17,0,3
5,,56,0,0,0,0,5,0,14
30,,57,0,0,0,0,30,0,22
3,,57,0,0,0,0,3,0,23
2,,57,0,0,0,0,2,0,26
3,,58,0,0,0,0,3,0,3
3,,58,0,0,0,0,3,0,13
7,,58,0,0,0,0,7,0,26
7,,59,0,0,0,0,7,0,13
6,,59,0,0,0,0,6,0,13
12,,59,0,0,0,0,12,0,17
50,0.0,59,0,0,0,0,48,1,26
3,,60,0,0,0,0,3,0,2
3,,60,0,0,0,0,3,0,7
30,,60,0,0,0,0,30,0,9
2,,60,0,0,0,0,2,0,12
3,,60,0,0,0,0,3,0,17
15,,60,0,0,0,0,15,0,23
27,0.0,61,0,0,0,0,25,1,4
3,,61,0,0,0,0,3,0,4
16,,61,0,0,0,0,16,0,11
2,,61,0,0,0,0,2,0,15
21,0.0,62,0,0,0,0,19,1,7
2,,62,0,0,0,0,2,0,8
6,,62,0,0,0,0,6,0,15
3,,62,0,0,0,0,3,0,18
2,,62,0,0,0,0,2,0,21
10,,63,0,0,0,0,10,0,1
95,0.0,63,0,0,0,0,93,1,20
16,,63,0,0,0,0,16,0,20
6,,63,0,0,0,0,6,0,23
10,,63,0,0,0,0,10,0,24
2,,63,0,0,0,0,2,0,26
18,,64,0,0,0,0,18,0,12
10,,64,0,0,0,0,10,0,17
3,,64,0,0,0,0,3,0,26
29,,65,0,0,0,0,29,0,6
4,,65,0,0,0,0,4,0,7
54,0.0,65,0,0,0,0,50,2,10
17,,65,0,0,0,0,17,0,25
3,,66,0,0,0,0,3,0,2
30,,66,0,0,0,0,30,0,7
6,,66,0,0,0,0,6,0,24
19,,67,0,0,0,0,19,0,14
7,,67,0,0,0,0,7,0,22
4,,67,0,0,0,0,4,0,26
2,,68,0,0,0,0,2,0,20
3,,69,0,0,0,0,3,0,12
19,,69,0,0,0,0,19,0,12
6,,69,0,0,0,0,6,0,14
4,,70,0,0,0,0,4,0,1
25,,70,0,0,0,0,25,0,24
4,,70,0,0,0,0,4,0,24
3,,71,0,0,0,0,3,0,7
4,,71,0,0,0,0,4,0,13
3,,71,0,0,0,0,3,0,18
16,,72,0,0,0,0,16,0,4
4,,72,0,0,0,0,4,0,7
14,,72,0,0,0,0,14,0,11
2,,73,0,0,0,0,2,0,16
3,,73,0,0,0,0,3,0,17
41,,73,0,0,0,0,41,0,26
6,,74,0,0,0,0,6,0,25
64,0.0,75,0,0,0,0,62,1,12
4,,75,0,0,0,0,4,0,14
37,,75,0,0,0,0,37,0,17
25,0.0,75,0,0,0,0,23,1,22
2,,76,0,0,0,0,2,0,1
24,,76,0,0,0,0,24,0,20
2,,77,0,0,0,0,2,0,2
4,,77,0,0,0,0,4,0,3
2,,77,0,0,0,0,2,0,14
4,,77,0,0,0,0,4,0,16
6,,77,0,0,0,0,6,0,18
4,,77,0,0,0,0,4,0,18
2,,77,0,0,0,0,2,0,23
2,,78,0,0,0,0,2,0,6
4,,78,0,0,0,0,4,0,20
7,,78,0,0,0,0,7,0,23
29,,78,0,0,0,0,29,0,25
24,,79,0,0,0,0,24,0,2
5,,79,0,0,0,0,5,0,8
22,,79,0,0,0,0,22,0,13
30,,79,0,0,0,0,30,0,23
3,,79,0,0,0,0,3,0,23
14,,80,0,0,0,0,14,0,17
18,,80,0,0,0,0,18,0,18
21,,80,0,0,0,0,21,0,18
44,0.0,80,0,0,0,0,42,1,20
6,,80,0,0,0,0,6,0,22
3,,81,0,0,0,0,3,0,16
26,,81,0,0,0,0,26,0,18
13,,82,0,0,0,0,13,0,20
18,,82,0,0,0,0,18,0,22
24,,82,0,0,0,0,24,0,25
2,,84,0,0,0,0,2,0,9
39,0.0,84,0,0,0,0,37,1,25
29,,85,0,0,0,0,29,0,1
12,,85,0,0,0,0,12,0,25
7,,86,0,0,0,0,7,0,8
47,0.0,86,0,0,0,0,43,2,9
5,,86,0,0,0,0,5,0,14
28,,86,0,0,0,0,28,0,20
5,,86,0,0,0,0,5,0,22
9,,87,0,0,0,0,9,0,1
2,,87,0,0,0,0,2,0,8
4,,88,0,0,0,0,4,0,3
27,,88,0,0,0,0,27,0,10
22,,88,0,0,0,0,22,0,19
24,,89,0,0,0,0,24,0,13
25,,90,0,0,0,0,25,0,7
12,,90,0,0,0,0,12,0,9
6,,90,0,0,0,0,6,0,16
8,,90,0,0,0,0,8,0,20
17,,90,0,0,0,0,17,0,25
20,,91,0,0,0,0,20,0,1
5,,91,0,0,0,0,5,0,7
37,,91,0,0,0,0,37,0,24
14,,91,0,0,0,0,14,0,24
3,,92,0,0,0,0,3,0,7
62,0.0,92,0,0,0,0,60,1,11
48,,92,0,0,0,0,48,0,16
2,,92,0,0,0,0,2,0,19
8,,93,0,0,0,0,8,0,2
14,,93,0,0,0,0,14,0,23
22,,93,0,0,0,0,22,0,24
5,,94,0,0,0,0,5,0,1
2,,94,0,0,0,0,2,0,9
17,,94,0,0,0,0,17,0,13
2,,94,0,0,0,0,2,0,15
10,,94,0,0,0,0,10,0,16
5,,94,0,0,0,0,5,0,26
2,,95,0,0,0,0,2,0,4
3,,95,0,0,0,0,3,0,14
12,,95,0,0,0,0,12,0,16
21,,95,0,0,0,0,21,0,20
18,,95,0,0,0,0,18,0,26
27,,96,0,0,0,0,27,0,2
4,,96,0,0,0,0,4,0,10
10,,96,0,0,0,0,10,0,14
12,,97,0,0,0,0,12,0,13
62,0.0,97,0,0,0,0,58,2,23
5,,98,0,0,0,0,5,0,5
9,,98,0,0,0,0,9,0,13
2,,98,0,0,0,0,2,0,15
15,,98,0,0,0,0,15,0,24
4,,98,0,0,0,0,4,0,24
16,,98,0,0,0,0,16,0,26
9,,99,0,0,0,0,9,0,1
2,,99,0,0,0,0,2,0,3
3,,99,0,0,0,0,3,0,15
29,,99,0,0,0,0,29,0,24
17,,99,0,0,0,0,17,0,26
16,,100,0,0,0,0,16,0,13
3,,101,0,0,0,0,3,0,1
2,,101,0,0,0,0,2,0,7
8,,101,0,0,0,0,8,0,7
3,,101,0,0,0,0,3,0,10
2,,101,0,0,0,0,2,0,13
10,,101,0,0,0,0,10,0,24
2,,102,0,0,0,0,2,0,2
12,,102,0,0,0,0,12,0,7
26,,102,0,0,0,0,26,0,8
11,,102,0,0,0,0,11,0,22
3,,104,0,0,0,0,3,0,4
4,,104,0,0,0,0,4,0,8
14,,104,0,0,0,0,14,0,17
6,,105,0,0,0,0,6,0,8
3,,105,0,0,0,0,3,0,14
11,,105,0,0,0,0,11,0,25
6,,105,0,0,0,0,6,0,26
3,,106,0,0,0,0,3,0,7
8,,106,0,0,0,0,8,0,14
3,,106,0,0,0,0,3,0,24
9,,107,0,0,0,0,9,0,19
9,,107,0,0,0,0,9,0,23
49,,108,0,0,0,0,49,0,15
26,0.0,108,0,0,0,0,24,1,18
13,,108,0,0,0,0,13,0,19
10,,109,0,0,0,0,10,0,26
4,,110,0,0,0,0,4,0,8
45,,110,0,0,0,0,45,0,9
3,,110,0,0,0,0,3,0,9
4,,110,0,0,0,0,4,0,11
2,,110,0,0,0,0,2,0,18
2,,111,0,0,0,0,2,0,9
13,,111,0,0,0,0,13,0,16
3,,112,0,0,0,0,3,0,6
36,,112,0,0,0,0,36,0,9
3,,112,0,0,0,0,3,0,18
27,,113,0,0,0,0,27,0,9
10,,113,0,0,0,0,10,0,15
2,,113,0,0,0,0,2,0,16
3,,113,0,0,0,0,3,0,23
8,,114,0,0,0,0,8,0,18
30,,115,0,0,0,0,30,0,14
8,,115,0,0,0,0,8,0,14
4,,115,0,0,0,0,4,0,14
4,,115,0,0,0,0,4,0,21
17,,115,0,0,0,0,17,0,23
15,,115,0,0,0,0,15,0,24
7,,115,0,0,0,0,7,0,25
33,,116,0,0,0,0,33,0,12
12,,116,0,0,0,0,12,0,25
2,,117,0,0,0,0,2,0,1
9,,117,0,0,0,0,9,0,8
2,,117,0,0,0,0,2,0,10
2,,117,0,0,0,0,2,0,22
17,,117,0,0,0,0,17,0,23
3,,118,0,0,0,0,3,0,10
4,,118,0,0,0,0,4,0,13
4,,118,0,0,0,0,4,0,21
2,,118,0,0,0,0,2,0,21
3,,118,0,0,0,0,3,0,23
3,,119,0,0,0,0,3,0,15
10,,119,0,0,0,0,10,0,20
13,,119,0,0,0,0,13,0,22
2,,120,0,0,0,0,2,0,15
13,,121,0,0,0,0,13,0,3
34,,121,0,0,0,0,34,0,5
2,,121,0,0,0,0,2,0,6
10,,121,0,0,0,0,10,0,19
8,,122,0,0,0,0,8,0,8
3,,122,0,0,0,0,3,0,10
32,,122,0,0,0,0,32,0,16
12,,123,0,0,0,0,12,0,22
9,,124,0,0,0,0,9,0,4
14,,124,0,0,0,0,14,0,10
5,,124,0,0,0,0,5,0,19
5,,125,0,0,0,0,5,0,5
45,,125,0,0,0,0,45,0,8
35,,125,0,0,0,0,35,0,17
2,,125,0,0,0,0,2,0,18
8,,126,0,0,0,0,8,0,7
6,,126,0,0,0,0,6,0,10
2,,126,0,0,0,0,2,0,13
15,,126,0,0,0,0,15,0,14
2,,126,0,0,0,0,2,0,23
4,,126,0,0,0,0,4,0,24
26,,127,0,0,0,0,26,0,4
3,,128,0,0,0,0,3,0,6
43,,128,0,0,0,0,43,0,7
10,,128,0,0,0,0,10,0,12
5,,128,0,0,0,0,5,0,26
3,,129,0,0,0,0,3,0,15
5,,129,0,0,0,0,5,0,17
3,,129,0,0,0,0,3,0,24
6,,130,0,0,0,0,6,0,11
18,,130,0,0,0,0,18,0,24
3,,130,0,0,0,0,3,0,24
2,,130,0,0,0,0,2,0,26
2,,131,0,0,0,0,2,0,5
3,,131,0,0,0,0,3,0,14
2,,131,0,0,0,0,2,0,18
2,,131,0,0,0,0,2,0,20
28,,132,0,0,0,0,28,0,5
11,,132,0,0,0,0,11,0,15
10,,133,0,0,0,0,10,0,13
5,,133,0,0,0,0,5,0,17
27,,133,0,0,0,0,27,0,23
4,,133,0,0,0,0,4,0,23
2,,134,0,0,0,0,2,0,4
6,,134,0,0,0,0,6,0,5
6,,134,0,0,0,0,6,0,8
9,,134,0,0,0,0,9,0,8
2,,134,0,0,0,0,2,0,9
6,,134,0,0,0,0,6,0,13
8,,134,0,0,0,0,8,0,13
5,,134,0,0,0,0,5,0,14
5,,135,0,0,0,0,5,0,25
8,,136,0,0,0,0,8,0,17
4,,136,0,0,0,0,4,0,22
2,,136,0,0,0,0,2,0,26
17,,137,0,0,0,0,17,0,9
7,,137,0,0,0,0,7,0,18
19,,138,0,0,0,0,19,0,7
17,,138,0,0,0,0,17,0,11
12,,138,0,0,0,0,12,0,22
13,,139,0,0,0,0,13,0,9
51,0.0,139,0,0,0,0,49,1,20
9,,140,0,0,0,0,9,0,8
5,,140,0,0,0,0,5,0,10
51,,140,0,0,0,0,51,0,16
3,,140,0,0,0,0,3,0,25
6,,141,0,0,0,0,6,0,3
6,,141,0,0,0,0,6,0,24
9,,142,0,0,0,0,9,0,8
6,,142,0,0,0,0,6,0,12
10,,142,0,0,0,0,10,0,15
10,,142,0,0,0,0,10,0,19
26,,143,0,0,0,0,26,0,1
28,,143,0,0,0,0,28,0,25
2,,144,0,0,0,0,2,0,2
9,,144,0,0,0,0,9,0,4
25,,144,0,0,0,0,25,0,5
2,,144,0,0,0,0,2,0,12
69,0.0,144,0,0,0,0,67,1,16
7,,144,0,0,0,0,7,0,19
43,,144,0,0,0,0,43,0,20
6,,144,0,0,0,0,6,0,21
3,,144,0,0,0,0,3,0,24
2,,145,0,0,0,0,2,0,17
24,,145,0,0,0,0,24,0,25
5,,145,0,0,0,0,5,0,25
15,,146,0,0,0,0,15,0,8
4,,146,0,0,0,0,4,0,22
2,,146,0,0,0,0,2,0,25
7,0.0,147,0,0,0,0,5,1,8
19,,147,0,0,0,0,19,0,12
2,,147,0,0,0,0,2,0,20
48,0.0,147,0,0,0,0,44,2,23
8,,148,0,0,0,0,8,0,11
75,0.0,148,0,0,0,0,73,1,17
36,,148,0,0,0,0,36,0,25
2,,149,0,0,0,0,2,0,2
2,,149,0,0,0,0,2,0,4
12,,150,0,0,0,0,12,0,1
4,,150,0,0,0,0,4,0,14
33,0.0,150,0,0,0,0,29,2,16
8,,151,0,0,0,0,8,0,9
4,,151,0,0,0,0,4,0,12
2,,151,0,0,0,0,2,0,22
6,,151,0,0,0,0,6,0,25
10,,152,0,0,0,0,10,0,1
15,,152,0,0,0,0,15,0,20
3,,152,0,0,0,0,3,0,20
5,,153,0,0,0,0,5,0,4
2,,153,0,0,0,0,2,0,10
2,,153,0,0,0,0,2,0,13
14,,153,0,0,0,0,14,0,22
3,,153,0,0,0,0,3,0,22
12,,154,0,0,0,0,12,0,3
2,,155,0,0,0,0,2,0,19
7,,156,0,0,0,0,7,0,18
22,,156,0,0,0,0,22,0,19
2,,157,0,0,0,0,2,0,1
29,,157,0,0,0,0,29,0,9
40,0.0,157,0,0,0,0,38,1,20
2,,158,0,0,0,0,2,0,1
18,,158,0,0,0,0,18,0,9
18,,158,0,0,0,0,18,0,12
11,,158,0,0,0,0,11,0,18
47,,159,0,0,0,0,47,0,5
7,,159,0,0,0,0,7,0,13
25,,159,0,0,0,0,25,0,18
2,,159,0,0,0,0,2,0,21
15,,159,0,0,0,0,15,0,26
5,,160,0,0,0,0,5,0,4
29,,160,0,0,0,0,29,0,8
8,,160,0,0,0,0,8,0,19
16,,160,0,0,0,0,16,0,19
17,,161,0,0,0,0,17,0,5
29,,161,0,0,0,0,29,0,16
2,,161,0,0,0,0,2,0,16
17,,161,0,0,0,0,17,0,19
7,,161,0,0,0,0,7,0,19
5,,162,0,0,0,0,5,0,6
9,,162,0,0,0,0,9,0,7
16,,162,0,0,0,0,16,0,20
12,,163,0,0,0,0,12,0,7
17,,163,0,0,0,0,17,0,8
6,,163,0,0,0,0,6,0,10
2,,163,0,0,0,0,2,0,12
2,,163,0,0,0,0,2,0,13
3,,163,0,0,0,0,3,0,23
69,0.0,164,0,0,0,0,67,1,5
2,,164,0,0,0,0,2,0,14
4,,164,0,0,0,0,4,0,19
5,,164,0,0,0,0,5,0,26
3,,165,0,0,0,0,3,0,26
6,,166,0,0,0,0,6,0,3
74,0.0,166,0,0,0,0,72,1,6
2,,166,0,0,0,0,2,0,8
4,,166,0,0,0,0,4,0,11
5,,166,0,0,0,0,5,0,16
5,,167,0,0,0,0,5,0,5
2,,167,0,0,0,0,2,0,13
24,,167,0,0,0,0,24,0,21
7,,168,0,0,0,0,7,0,25
10,,169,0,0,0,0,10,0,6
6,,169,0,0,0,0,6,0,8
2,,169,0,0,0,0,2,0,11
2,,169,0,0,0,0,2,0,20
62,,170,0,0,0,0,62,0,3
58,,170,0,0,0,0,58,0,9
3,,170,0,0,0,0,3,0,22
4,,171,0,0,0,0,4,0,3
4,,171,0,0,0,0,4,0,5
25,0.0,171,0,0,0,0,23,1,16
27,,171,0,0,0,0,27,0,25
6,,171,0,0,0,0,6,0,25
77,0.0,172,0,0,0,0,73,2,1
2,,172,0,0,0,0,2,0,6
4,,172,0,0,0,0,4,0,11
30,,173,0,0,0,0,30,0,1
3,,174,0,0,0,0,3,0,10
4,,174,0,0,0,0,4,0,12
6,,174,0,0,0,0,6,0,14
26,0.0,174,0,0,0,0,24,1,16
2,,174,0,0,0,0,2,0,22
2,,174,0,0,0,0,2,0,25
16,,175,0,0,0,0,16,0,1
14,,175,0,0,0,0,14,0,3
3,,175,0,0,0,0,3,0,12
2,,176,0,0,0,0,2,0,5
17,,176,0,0,0,0,17,0,23
12,,177,0,0,0,0,12,0,6
2,,177,0,0,0,0,2,0,13
2,,177,0,0,0,0,2,0,23
5,,177,0,0,0,0,5,0,24
3,,178,0,0,0,0,3,0,3
54,0.0,180,0,0,0,0,50,2,4
25,,180,0,0,0,0,25,0,5
10,,180,0,0,0,0,10,0,15
10,,180,0,0,0,0,10,0,17
9,,180,0,0,0,0,9,0,20
2,,181,0,0,0,0,2,0,3
31,,181,0,0,0,0,31,0,11
11,0.0,181,0,0,0,0,9,1,15
10,,181,0,0,0,0,10,0,23
2,,181,0,0,0,0,2,0,26
2,,182,0,0,0,0,2,0,3
6,,182,0,0,0,0,6,0,6
2,,182,0,0,0,0,2,0,9
20,,182,0,0,0,0,20,0,10
7,,182,0,0,0,0,7,0,15
31,,182,0,0,0,0,31,0,23
17,,183,0,0,0,0,17,0,14
2,,183,0,0,0,0,2,0,16
81,,184,0,0,0,0,81,0,24
10,,184,0,0,0,0,10,0,25
4,,185,0,0,0,0,4,0,22
6,,186,0,0,0,0,6,0,12
26,,186,0,0,0,0,26,0,17
3,,186,0,0,0,0,3,0,23
5,,187,0,0,0,0,5,0,6
2,,188,0,0,0,0,2,0,16
7,,188,0,0,0,0,7,0,26
7,,189,0,0,0,0,7,0,6
49,,189,0,0,0,0,49,0,12
3,,189,0,0,0,0,3,0,14
14,,190,0,0,0,0,14,0,5
2,,190,0,0,0,0,2,0,10
6,,191,0,0,0,0,6,0,18
2,,191,0,0,0,0,2,0,22
42,0.0,191,0,0,0,0,40,1,24
2,,192,0,0,0,0,2,0,25
6,,192,0,0,0,0,6,0,25
28,,193,0,0,0,0,28,0,15
16,,193,0,0,0,0,16,0,23
6,,195,0,0,0,0,6,0,25
17,,196,0,0,0,0,17,0,7
25,,196,0,0,0,0,25,0,12
4,,196,0,0,0,0,4,0,16
2,,196,0,0,0,0,2,0,21
13,0.0,196,0,0,0,0,11,1,22
3,,196,0,0,0,0,3,0,24
24,,197,0,0,0,0,24,0,13
3,,198,0,0,0,0,3,0,1
12,,198,0,0,0,0,12,0,12
8,,198,0,0,0,0,8,0,20
5,,198,0,0,0,0,5,0,24
18,,199,0,0,0,0,18,0,22
7,,199,0,0,0,0,7,0,25
9,,199,0,0,0,0,9,0,26
4,,200,0,0,0,0,4,0,4
2,,200,0,0,0,0,2,0,17
3,,200,0,0,0,0,3,0,18
32,,200,0,0,0,0,32,0,20
2,,201,0,0,0,0,2,0,3
7,,201,0,0,0,0,7,0,22
3,,201,0,0,0,0,3,0,25
20,,202,0,0,0,0,20,0,1
4,,202,0,0,0,0,4,0,6
7,,202,0,0,0,0,7,0,20
10,,203,0,0,0,0,10,0,1
7,,204,0,0,0,0,7,0,18
5,,204,0,0,0,0,5,0,19
2,,204,0,0,0,0,2,0,20
6,,204,0,0,0,0,6,0,21
2,,204,0,0,0,0,2,0,22
5,,205,0,0,0,0,5,0,22
13,,206,0,0,0,0,13,0,6
10,,206,0,0,0,0,10,0,13
39,,207,0,0,0,0,39,0,8
31,0.0,207,0,0,0,0,29,1,15
6,,207,0,0,0,0,6,0,18
4,,207,0,0,0,0,4,0,23
25,0.0,208,0,0,0,0,23,1,2
3,,208,0,0,0,0,3,0,14
9,,209,0,0,0,0,9,0,10
6,,209,0,0,0,0,6,0,12
4,,210,0,0,0,0,4,0,4
9,,210,0,0,0,0,9,0,5
17,,210,0,0,0,0,17,0,6
23,,210,0,0,0,0,23,0,8
37,,210,0,0,0,0,37,0,9
3,,210,0,0,0,0,3,0,19
37,,210,0,0,0,0,37,0,26
5,,211,0,0,0,0,5,0,5
2,,211,0,0,0,0,2,0,7
23,,211,0,0,0,0,23,0,16
3,,211,0,0,0,0,3,0,20
12,,212,0,0,0,0,12,0,1
25,,212,0,0,0,0,25,0,1
12,,212,0,0,0,0,12,0,6
14,,212,0,0,0,0,14,0,10
21,0.0,212,0,0,0,0,19,1,22
12,,212,0,0,0,0,12,0,25
3,,213,0,0,0,0,3,0,14
4,,213,0,0,0,0,4,0,15
65,,213,0,0,0,0,65,0,16
2,,213,0,0,0,0,2,0,18
17,,213,0,0,0,0,17,0,19
23,,213,0,0,0,0,23,0,22
9,,214,0,0,0,0,9,0,12
28,,214,0,0,0,0,28,0,20
2,,214,0,0,0,0,2,0,26
42,0.0,215,0,0,0,0,40,1,1
4,,215,0,0,0,0,4,0,7
5,,215,0,0,0,0,5,0,18
31,,216,0,0,0,0,31,0,7
5,,216,0,0,0,0,5,0,8
5,,216,0,0,0,0,5,0,18
34,,217,0,0,0,0,34,0,1
35,,217,0,0,0,0,35,0,6
2,,217,0,0,0,0,2,0,18
14,,218,0,0,0,0,14,0,1
32,,218,0,0,0,0,32,0,3
32,,218,0,0,0,0,32,0,5
5,,218,0,0,0,0,5,0,5
15,,218,0,0,0,0,15,0,6
3,,218,0,0,0,0,3,0,8
2,,218,0,0,0,0,2,0,12
36,0.0,219,0,0,0,0,34,1,11
2,,219,0,0,0,0,2,0,21
11,0.0,220,0,0,0,0,9,1,7
28,,220,0,0,0,0,28,0,21
4,,221,0,0,0,0,4,0,12
2,,221,0,0,0,0,2,0,19
2,,221,0,0,0,0,2,0,21
2,,222,0,0,0,0,2,0,14
7,,222,0,0,0,0,7,0,19
2,,222,0,0,0,0,2,0,21
2,,223,0,0,0,0,2,0,4
8,,223,0,0,0,0,8,0,9
58,,224,0,0,0,0,58,0,10
7,,224,0,0,0,0,7,0,17
7,,224,0,0,0,0,7,0,17
5,,224,0,0,0,0,5,0,23
15,,224,0,0,0,0,15,0,25
